,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region_recod
105,0.70099998,MDV,8,13349.76,0.335999995470047,5.599999904632568,,4.1469597816467285,,SouthAsia
48,0.92299998,DNK,5,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531,WesternDem
172,0.484,TGO,4,1036.28,6.928999900817871,7.300000190734862,,4.868460178375244,,SubSaharian
155,0.92400002,SGP,7,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,,SouthEastAsia
182,0.74599999,MKD,1,9610.5996,2.069000005722046,5.5,3.961112499237061,,,EastEurope
20,0.75400001,BRA,2,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164,LatAm
175,0.83600003,ARE,3,20310.109,,2.5,5.27984094619751,,,NorthAfrica
139,0.42100000000000004,GNB,4,961.26001,,8.5,,2.173130035400391,,SubSaharian
191,0.70200002,WSM,9,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984,Pacific
36,0.73400003,CHN,6,9283.3799,,4.599999904632568,4.028250217437743,,,EastAsia
162,0.88200003,ESP,5,31086.35,46.45500183105469,2.4000000953674316,3.4416911602020264,4.27092981338501,96.4586181640625,WesternDem
168,0.93800002,CHE,5,50454.41,8.140000343322754,2.099999904632568,5.986858367919923,5.096079826354981,84.2464828491211,WesternDem
107,0.85299999,MLT,5,24094.641,0.42500001192092896,4.0,5.026020526885986,7.848999977111816,88.06436157226562,WesternDem
47,0.48100001,BEN,4,1413.05,10.31999969482422,6.800000190734862,2.39393949508667,4.3206801414489755,44.96981811523438,SubSaharian
70,0.414,GIN,4,993.8300199999999,11.74499988555908,7.199999809265138,2.425785064697266,3.2081699371337886,31.78817939758301,SubSaharian
156,0.84200001,SVK,1,21776.34,5.415999889373778,4.199999809265137,2.762844562530518,4.238560199737549,,EastEurope
179,,TUV,9,3174.05,0.0109999999403954,,,,69.80497741699219,Pacific
121,0.92299998,NLD,5,42258.352,16.86499977111816,2.5999999046325684,5.304530620574951,5.529379844665527,93.88201904296876,WesternDem
92,0.662,KGZ,1,3010.24,5.894999980926514,6.4000000953674325,2.8536891937255864,5.527379989624023,80.17756652832031,EastEurope
94,0.76300001,LBN,3,14711.97,4.382999897003174,5.400000095367432,4.551487922668457,2.5711901187896733,64.83651733398439,NorthAfrica
181,0.74800003,UKR,1,9326.7197,42.7599983215332,5.5,3.673648834228516,5.863540172576903,88.56585693359375,EastEurope
30,0.91900003,CAN,5,36577.078,35.49599838256836,2.200000047683716,5.245896816253662,5.281219959259033,,WesternDem
6,0.75800002,AZE,1,9793.3096,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,,EastEurope
61,0.69400001,GAB,4,14525.28,,5.5,2.875664710998535,2.666169881820679,,SubSaharian
192,0.49900001,YEM,3,2170.9299,,7.5,1.8963284492492682,,41.72175979614258,NorthAfrica
